home_team,away_team,home_goals,away_goals
Birmingham City,Middlesbrough,0,3
Stoke City,Leeds United,3,0
Sheffield United,Queens Park Rangers,1,1
Newcastle United,Coventry City,3,2
Manchester City,West Ham United,4,0
Luton Town,Liverpool,1,2
Leicester City,Arsenal,0,1
Everton,Derby County,0,0
Chelsea,Carlisle United,0,2
Burnley,Wolverhampton Wanderers,1,2
Tottenham Hotspur,Ipswich Town,0,1
West Ham United,Luton Town,2,0
Wolverhampton Wanderers,Liverpool,0,0
Middlesbrough,Carlisle United,0,2
Everton,Stoke City,2,1
Birmingham City,Leicester City,3,4
Arsenal,Ipswich Town,0,1
Leeds United,Queens Park Rangers,0,1
Chelsea,Burnley,3,3
Derby County,Coventry City,1,1
Manchester City,Tottenham Hotspur,1,0
Newcastle United,Sheffield United,2,2
Leeds United,Birmingham City,1,0
Arsenal,Manchester City,4,0
West Ham United,Everton,2,3
Queens Park Rangers,Stoke City,0,1
Middlesbrough,Luton Town,1,1
Liverpool,Leicester City,2,1
Ipswich Town,Burnley,2,0
Derby County,Sheffield United,2,0
Coventry City,Chelsea,1,3
Carlisle United,Tottenham Hotspur,1,0
Wolverhampton Wanderers,Newcastle United,4,2
Queens Park Rangers,Leeds United,1,1
Burnley,Chelsea,1,2
Sheffield United,Newcastle United,2,1
Liverpool,Wolverhampton Wanderers,2,0
Ipswich Town,Arsenal,3,0
Coventry City,Derby County,1,1
Carlisle United,Middlesbrough,0,1
Leicester City,Birmingham City,1,1
Luton Town,West Ham United,0,0
Stoke City,Everton,1,1
Tottenham Hotspur,Manchester City,1,2
Manchester City,Leeds United,2,1
Birmingham City,Wolverhampton Wanderers,1,1
Stoke City,Middlesbrough,1,1
Sheffield United,Ipswich Town,3,1
Newcastle United,West Ham United,2,0
Luton Town,Queens Park Rangers,1,1
Leicester City,Carlisle United,1,1
Everton,Arsenal,2,1
Chelsea,Liverpool,0,3
Burnley,Coventry City,3,0
Tottenham Hotspur,Derby County,2,0
Leeds United,Luton Town,1,1
Arsenal,Burnley,0,1
West Ham United,Sheffield United,1,2
Queens Park Rangers,Birmingham City,0,1
Middlesbrough,Chelsea,1,1
Liverpool,Tottenham Hotspur,5,2
Ipswich Town,Everton,1,0
Derby County,Newcastle United,2,2
Coventry City,Manchester City,2,2
Carlisle United,Stoke City,0,2
Wolverhampton Wanderers,Leicester City,1,1
Burnley,Leeds United,2,1
Birmingham City,Derby County,3,2
Stoke City,Coventry City,2,0
Sheffield United,Middlesbrough,1,0
Newcastle United,Carlisle United,1,0
Manchester City,Liverpool,2,0
Luton Town,Ipswich Town,1,4
Leicester City,Queens Park Rangers,3,1
Everton,Wolverhampton Wanderers,0,0
Chelsea,Arsenal,0,0
Tottenham Hotspur,West Ham United,2,1
Leeds United,Sheffield United,5,1
Arsenal,Luton Town,2,2
West Ham United,Leicester City,6,2
Queens Park Rangers,Newcastle United,1,2
Middlesbrough,Manchester City,3,0
Liverpool,Stoke City,3,0
Ipswich Town,Chelsea,2,0
Derby County,Burnley,3,2
Coventry City,Everton,1,1
Carlisle United,Birmingham City,1,0
Wolverhampton Wanderers,Tottenham Hotspur,2,3
Carlisle United,Manchester City,0,0
Wolverhampton Wanderers,Sheffield United,1,1
Queens Park Rangers,Everton,2,2
Liverpool,Burnley,0,1
Ipswich Town,Stoke City,3,1
Coventry City,Luton Town,2,1
Derby County,Chelsea,4,1
West Ham United,Birmingham City,3,0
Everton,Leeds United,3,2
Leicester City,Coventry City,0,1
Newcastle United,Ipswich Town,1,0
Tottenham Hotspur,Middlesbrough,1,2
Birmingham City,Arsenal,3,1
Stoke City,Derby County,1,1
Sheffield United,Liverpool,1,0
Manchester City,Queens Park Rangers,1,0
Luton Town,Carlisle United,3,1
Chelsea,Wolverhampton Wanderers,0,1
Burnley,West Ham United,3,5
